Channel			  :,CH2
Frequency			  :,F=411.7kHz
Period 			  :,T=  ?
PK-PK				  :,Vpp=5.680V
Average			  :,V=3.514V
Vertical pos		  :,-4000.00mV
Probe attenuation	  :,10X
Voltage per ADC value:,80.00mV
Time interval		  :,0.08uS

index,CH2_Voltage(mV)
1444,0.00
1445,0.00
1446,0.00
1447,0.00
1448,160.00
1449,0.00
1450,160.00
1451,160.00
1452,80.00
1453,80.00
1454,160.00
1455,160.00
1456,4720.00
1457,4880.00
1458,4720.00
1459,4800.00
1460,4880.00
1461,4800.00
1462,4800.00
1463,4720.00
1464,4800.00
1465,4880.00
1466,4720.00
1467,4800.00
1468,4720.00
1469,4800.00
1470,4880.00
1471,4720.00
1472,4720.00
1473,4720.00
1474,4720.00
1475,4800.00
1476,4720.00
1477,4720.00
1478,4720.00
1479,4720.00
1480,4720.00
1481,4720.00
1482,4880.00
1483,4800.00
1484,4880.00
1485,4800.00
1486,4800.00
1487,4800.00
1488,4800.00
1489,4640.00
1490,4720.00
1491,4720.00
1492,4720.00
1493,4880.00
1494,4880.00
1495,4800.00
1496,4880.00
1497,4720.00
1498,-160.00
1499,80.00
1500,80.00
1501,80.00
1502,160.00
1503,80.00
1504,160.00
1505,160.00
1506,80.00
1507,80.00
1508,0.00
1509,80.00
1510,4640.00
1511,4720.00
1512,4800.00
1513,4880.00
1514,4800.00
1515,4720.00
1516,4800.00
1517,4960.00
1518,4800.00
1519,4720.00
1520,4800.00
1521,4720.00
1522,4800.00
1523,4720.00
1524,4800.00
1525,4800.00
1526,4720.00
1527,4800.00
1528,4720.00
1529,4800.00
1530,4720.00
1531,4720.00
1532,4720.00
1533,4800.00
1534,4800.00
1535,4720.00
1536,4720.00
1537,4880.00
1538,4640.00
1539,4720.00
1540,4720.00
1541,4720.00
1542,4800.00
1543,4640.00
1544,4800.00
1545,4800.00
1546,160.00
1547,80.00
1548,160.00
1549,80.00
1550,0.00
1551,0.00
1552,80.00
1553,160.00
1554,160.00
1555,80.00
1556,80.00
1557,80.00
1558,4480.00
1559,4880.00
1560,4880.00
1561,4800.00
1562,4880.00
1563,4880.00
1564,4880.00
1565,4800.00
1566,4640.00
1567,4720.00
1568,4800.00
1569,4800.00
1570,4800.00
1571,4720.00
1572,4640.00
1573,4800.00
1574,4720.00
1575,4800.00
1576,4720.00
1577,4800.00
1578,4800.00
1579,4720.00
1580,4800.00
1581,4720.00
1582,4800.00
1583,4720.00
1584,4880.00
1585,4880.00
1586,4720.00
1587,4720.00
1588,4720.00
1589,4720.00
1590,4720.00
1591,4800.00
1592,4880.00
1593,4720.00
1594,4880.00
1595,4880.00
1596,0.00
1597,0.00
1598,80.00
1599,-80.00
1600,0.00
1601,0.00
1602,160.00
1603,80.00
1604,160.00
1605,80.00
1606,160.00
1607,160.00
1608,4720.00
1609,4800.00
1610,4800.00
1611,4800.00
1612,4800.00
1613,4800.00
1614,4720.00
1615,4800.00
1616,4720.00
1617,4880.00
1618,4960.00
1619,4720.00
1620,4720.00
1621,4800.00
1622,4640.00
1623,4800.00
1624,4800.00
1625,4800.00
1626,4800.00
1627,4880.00
1628,4720.00
1629,4800.00
1630,4720.00
1631,4720.00
1632,4800.00
1633,4800.00
1634,4880.00
1635,4800.00
1636,4800.00
1637,4720.00
1638,4720.00
1639,4800.00
1640,4800.00
1641,4800.00
1642,4720.00
1643,2320.00
1644,-80.00
1645,0.00
1646,0.00
1647,160.00
1648,160.00
1649,80.00
1650,160.00
1651,80.00
1652,80.00
1653,80.00
1654,160.00
1655,2880.00
1656,4800.00
1657,4880.00
1658,4880.00
1659,4960.00
1660,4800.00
1661,4800.00
1662,4800.00
1663,4880.00
1664,4880.00
1665,4960.00
1666,4880.00
1667,4720.00
1668,4800.00
1669,4800.00
1670,4720.00
1671,4720.00
1672,4800.00
1673,4800.00
1674,4800.00
1675,4800.00
1676,4800.00
1677,4720.00
1678,4720.00
1679,4800.00
1680,4800.00
1681,4720.00
1682,4800.00
1683,4800.00
1684,4800.00
1685,4800.00
1686,4720.00
1687,4720.00
1688,4800.00
1689,4800.00
1690,4800.00
1691,4800.00
1692,4880.00
1693,-400.00
1694,160.00
1695,0.00
1696,0.00
1697,0.00
1698,0.00
1699,80.00
1700,80.00
1701,80.00
1702,80.00
1703,0.00
1704,160.00
1705,4080.00
1706,4880.00
1707,4880.00
1708,4800.00
1709,4800.00
1710,4880.00
1711,4800.00
1712,4800.00
1713,4800.00
1714,4880.00
1715,4880.00
1716,4640.00
1717,4800.00
1718,4800.00
1719,4800.00
1720,4800.00
1721,4720.00
1722,4800.00
1723,4720.00
1724,4640.00
1725,4720.00
1726,4720.00
1727,4800.00
1728,4800.00
1729,4880.00
1730,4800.00
1731,4800.00
1732,4720.00
1733,4880.00
1734,4720.00
1735,4720.00
1736,4720.00
1737,4720.00
1738,4640.00
1739,4640.00
1740,4800.00
1741,4720.00
1742,4800.00
1743,0.00
1744,0.00
1745,0.00
1746,0.00
1747,160.00
1748,160.00
1749,80.00
1750,80.00
1751,80.00
1752,160.00
1753,80.00
1754,1280.00
1755,4880.00
1756,4640.00
1757,4800.00
1758,4880.00
1759,4720.00
1760,4800.00
1761,4800.00
1762,4720.00
1763,4720.00
1764,4800.00
1765,4800.00
1766,4720.00
1767,4720.00
1768,4880.00
1769,4800.00
1770,4720.00
1771,4800.00
1772,4800.00
1773,4720.00
1774,4880.00
1775,4800.00
1776,4800.00
1777,4720.00
1778,4720.00
1779,4800.00
1780,4720.00
1781,4800.00
1782,4800.00
1783,4720.00
1784,4800.00
1785,4800.00
1786,4800.00
1787,4800.00
1788,4800.00
1789,4800.00
1790,4720.00
1791,4720.00
1792,4800.00
1793,4720.00
1794,4800.00
1795,0.00
1796,0.00
1797,0.00
1798,160.00
1799,-80.00
1800,0.00
1801,80.00
1802,0.00
1803,0.00
1804,80.00
1805,4480.00
1806,4960.00
1807,4880.00
1808,4800.00
1809,4720.00
1810,4880.00
1811,4800.00
1812,4880.00
1813,4800.00
1814,4800.00
1815,4800.00
1816,4800.00
1817,4640.00
1818,4720.00
1819,4800.00
1820,4720.00
1821,4800.00
