Channel			  :,CH2
Frequency			  :,F=937.6kHz
Period 			  :,T=  ?
PK-PK				  :,Vpp=6.880V
Average			  :,V=4.244V
Vertical pos		  :,-4000.00mV
Probe attenuation	  :,10X
Voltage per ADC value:,80.00mV
Time interval		  :,0.02uS

index,CH2_Voltage(mV)
1637,4720.00
1638,4640.00
1639,4800.00
1640,4720.00
1641,4800.00
1642,4720.00
1643,4640.00
1644,4880.00
1645,4720.00
1646,4720.00
1647,4800.00
1648,4720.00
1649,4720.00
1650,4640.00
1651,4800.00
1652,4720.00
1653,4720.00
1654,4720.00
1655,4720.00
1656,4800.00
1657,4720.00
1658,4640.00
1659,4720.00
1660,4880.00
1661,4800.00
1662,4720.00
1663,4720.00
1664,4800.00
1665,4720.00
1666,4800.00
1667,4800.00
1668,4720.00
1669,4800.00
1670,4640.00
1671,4800.00
1672,4800.00
1673,4720.00
1674,4720.00
1675,4720.00
1676,4800.00
1677,4800.00
1678,4720.00
1679,4720.00
1680,4720.00
1681,4800.00
1682,4800.00
1683,4720.00
1684,4800.00
1685,4720.00
1686,4800.00
1687,4720.00
1688,4720.00
1689,4720.00
1690,4880.00
1691,4720.00
1692,4720.00
1693,4720.00
1694,4640.00
1695,4800.00
1696,4640.00
1697,4800.00
1698,4720.00
1699,4960.00
1700,4880.00
1701,4800.00
1702,4720.00
1703,4880.00
1704,4800.00
1705,4720.00
1706,4800.00
1707,4720.00
1708,4800.00
1709,4720.00
1710,4720.00
1711,4800.00
1712,4800.00
1713,4720.00
1714,4720.00
1715,4720.00
1716,4720.00
1717,4720.00
1718,4720.00
1719,4640.00
1720,4800.00
1721,4800.00
1722,4720.00
1723,4720.00
1724,4640.00
1725,4720.00
1726,4800.00
1727,4720.00
1728,4720.00
1729,4720.00
1730,4800.00
1731,4800.00
1732,4720.00
1733,4800.00
1734,4640.00
1735,4800.00
1736,4800.00
1737,4800.00
1738,4720.00
1739,4960.00
1740,4800.00
1741,4800.00
1742,4720.00
1743,4720.00
1744,4800.00
1745,4720.00
1746,4720.00
1747,-1520.00
1748,480.00
1749,160.00
1750,-80.00
1751,0.00
1752,0.00
1753,-80.00
1754,0.00
1755,-80.00
1756,0.00
1757,-80.00
1758,80.00
1759,-160.00
1760,0.00
1761,0.00
1762,80.00
1763,80.00
1764,-80.00
1765,0.00
1766,0.00
1767,0.00
1768,80.00
1769,0.00
1770,-80.00
1771,0.00
1772,2400.00
1773,4240.00
1774,4640.00
1775,4800.00
1776,4800.00
1777,4800.00
1778,4800.00
1779,4800.00
1780,4880.00
1781,4720.00
1782,4720.00
1783,4800.00
1784,4800.00
1785,4800.00
1786,4800.00
1787,4800.00
1788,4800.00
1789,4800.00
